"","aic","r2","adjr2"
"1",2496.001,0.4421082,0.05753843
"2",2475.172,0.416003,0.06192802
"3",2443.592,0.5413441,0.1684686
"4",2464.195,0.4863694,0.1129204
"5",2481.136,0.4552509,0.08258763
"6",2448.216,0.5560361,0.1738898
"7",2474.136,0.4828956,0.1017347
"8",2454.034,0.5244107,0.143732
"9",2444.756,0.6101841,0.2235223
"10",2489.266,0.4512073,0.06706031
"11",2490.816,0.2352926,-0.0004093275
"12",2440.301,0.608088,0.2237094
"13",2487.131,0.3827286,0.03937297
"14",2465.718,0.4426562,0.09148059
"15",2438.387,0.5001074,0.1425531
"16",2484.961,0.2762542,0.01083133
"17",2475.045,0.4554223,0.08276827
"18",2484.955,0.3831056,0.03591714
"19",2458.811,0.584964,0.1827121
"20",2477.001,0.3915177,0.05811282
"21",2441.486,0.6091952,0.2286799
"22",2464.38,0.5768607,0.1816431
"23",2474.552,0.4292734,0.07098064
"24",2440.546,0.5646907,0.1922202
"25",2471.975,0.3852017,0.05265567
"26",2444.202,0.5435527,0.1678767
"27",2470.522,0.4410991,0.08270292
"28",2480.017,0.4902395,0.1027823
"29",2458.242,0.5273601,0.1473958
"30",2473.779,0.5346287,0.1387924
"31",2454.568,0.4212596,0.08500355
"32",2445.315,0.5784223,0.1941868
"33",2496.735,0.1632791,-0.01581296
"34",2427.013,0.5326295,0.1743784
"35",2441.866,0.5687224,0.1841545
"36",2401.525,0.6598272,0.3015161
"37",2467.786,0.4689775,0.1008946
"38",2441.633,0.5630456,0.1866591
"39",2460.045,0.6057075,0.2030483
"40",2447.611,0.6117312,0.2225096
"41",2430.565,0.6022424,0.2216754
"42",2449.075,0.590313,0.2043009
"43",2441.442,0.5602914,0.1829746
"44",2467.051,0.4400705,0.08530044
"45",2462.518,0.5707365,0.1730232
"46",2466.971,0.4885478,0.1117921
"47",2466.82,0.5130714,0.1262419
"48",2454.863,0.5819959,0.1854611
"49",2476.975,0.5128095,0.1186393
"50",2434.185,0.6294165,0.249781
"51",2467.099,0.4321448,0.08109059
"52",2488.129,0.4457244,0.06511533
"53",2460.02,0.5244335,0.1330573
"54",2451.144,0.5291587,0.1531252
"55",2487.577,0.4544151,0.07424196
"56",2444.76,0.5582744,0.1802879
"57",2484.577,0.4409914,0.06779788
"58",2460.431,0.5855112,0.1870272
"59",2447.304,0.6094415,0.2190356
"60",2447.749,0.6061117,0.2173947
"61",2482.796,0.2964849,0.01589564
"62",2460.179,0.5498843,0.1516144
"63",2429.8,0.6425411,0.2673502
"64",2483.381,0.4547858,0.07085817
"65",2438.354,0.5856223,0.2009646
"66",2462.585,0.5333238,0.1443026
"67",2460.488,0.5647782,0.1752982
"68",2418.024,0.6397697,0.272406
"69",2491.832,0.3981766,0.03785779
"70",2443.597,0.5381408,0.1644013
"71",2468.665,0.3964318,0.0660401
"72",2455.008,0.5127535,0.1365589
"73",2475.551,0.5050068,0.1165047
"74",2414.117,0.5772472,0.2189083
"75",2474.496,0.4526721,0.08357331
"76",2445.829,0.5181026,0.153385
"77",2470.602,0.4331243,0.08564802
"78",2410.098,0.6190933,0.2594158
"79",2440.988,0.5195078,0.1550724
"80",2460.328,0.5139019,0.1344071
"81",2444.247,0.5711402,0.1908775
"82",2428.222,0.6566262,0.2808032
"83",2478.49,0.4676781,0.08478952
"84",2478.787,0.3748431,0.04389774
"85",2408.473,0.6023688,0.2443695
"86",2441.375,0.5416898,0.168909
"87",2445.244,0.5224086,0.1482668
"88",2464.33,0.4789414,0.1117809
"89",2482.111,0.3806234,0.04132377
"90",2457.79,0.5114279,0.1349685
"91",2469.887,0.3502764,0.04626156
"92",2455.988,0.524486,0.1508146
"93",2467.375,0.3559203,0.04698456
"94",2480.657,0.4523648,0.07582972
"95",2416.382,0.6564359,0.2867714
"96",2475.567,0.4803206,0.09882922
"97",2456.88,0.4779457,0.11424
"98",2456.513,0.4749783,0.1145357
"99",2438.757,0.5733541,0.1939202
"100",2423.052,0.6508188,0.2743999
"101",2442.241,0.6081693,0.2238312
"102",2445.384,0.5573171,0.1755953
"103",2462.341,0.5885091,0.1878807
"104",2489.51,0.1840094,-0.008299414
"105",2417.908,0.5975977,0.2344163
"106",2436.742,0.5821723,0.1994573
"107",2436.736,0.5199272,0.1623323
"108",2479.42,0.3422576,0.02919253
"109",2473.977,0.4421561,0.08376617
"110",2462.421,0.4965643,0.1174177
"111",2488.426,0.523762,0.1137522
"112",2455.911,0.4499764,0.09530195
"113",2445.759,0.5658785,0.1802635
"114",2477.149,0.3196596,0.03130189
"115",2479.486,0.5509666,0.1384609
"116",2503.49,0.427411,0.04646021
"117",2449.121,0.5668399,0.1815767
"118",2480.028,0.3677679,0.04176711
"119",2473.566,0.5809754,0.1733557
"120",2480.354,0.4716107,0.08911669
"121",2487.241,0.545073,0.1267057
"122",2503.867,0.5534844,0.1152045
"123",2413.668,0.6062224,0.2404774
"124",2454.316,0.5172857,0.1420275
"125",2475.699,0.4943256,0.1075337
"126",2487.224,0.378227,0.03551754
"127",2467.452,0.4841239,0.1139754
"128",2460.837,0.5361471,0.1514491
"129",2445.571,0.5317233,0.1631846
"130",2477.749,0.5281692,0.1341518
"131",2468.552,0.5032821,0.1180866
"132",2488.249,0.5072388,0.1043806
"133",2458.816,0.5672985,0.1752733
"134",2455.185,0.488168,0.1220659
"135",2481.22,0.4588631,0.08271011
"136",2442.72,0.5763611,0.1980716
"137",2463.86,0.5146919,0.1318046
"138",2498.02,0.4060898,0.03746527
"139",2457.209,0.5290526,0.1495075
"140",2486.443,0.4894854,0.09445664
"141",2450.664,0.5553457,0.1695118
"142",2450.407,0.4715137,0.1178155
"143",2443.419,0.5154346,0.150194
"144",2463.493,0.5446761,0.1518692
"145",2459.016,0.4516817,0.1006012
"146",2484.539,0.2722777,0.008495462
"147",2438.431,0.5587787,0.1809587
"148",2446.176,0.5742138,0.191723
"149",2480.001,0.5406935,0.135763
"150",2430.786,0.6155208,0.2381816
"151",2443.371,0.6011278,0.2200374
"152",2446.305,0.5620238,0.1715398
"153",2476.331,0.5172605,0.1204572
"154",2496.443,0.3624434,0.02236011
"155",2451.194,0.5545266,0.1718851
"156",2480.937,0.3154219,0.01731524
"157",2419.166,0.6530982,0.2812934
"158",2477.113,0.3653812,0.04352111
"159",2471.203,0.5090252,0.1213373
"160",2499.363,0.5018814,0.09021598
"161",2427.33,0.5784005,0.210806
"162",2464.031,0.5041807,0.1298979
"163",2440.652,0.4561656,0.1121913
"164",2438.486,0.5068334,0.1502971
"165",2490.808,0.4558711,0.06821272
"166",2480.404,0.4930871,0.1023955
"167",2468.288,0.4967966,0.117688
"168",2476.256,0.2879817,0.02156839
"169",2470.066,0.4018543,0.05994821
"170",2487.798,0.5410171,0.1250205
"171",2477.696,0.5081835,0.1092798
"172",2451.619,0.5923794,0.1970351
"173",2465.25,0.3952049,0.06496391
"174",2477.569,0.4151973,0.0648645
"175",2463.544,0.547746,0.1559133
"176",2431.572,0.6197879,0.2446467
"177",2484.631,0.3065856,0.01877917
"178",2489.21,0.4737056,0.08771288
"179",2495.674,0.4801271,0.07210006
"180",2439.042,0.6097978,0.2229392
